cell_id,donor,condition,tissue,truth_cell_type,truth_state,nCount_RNA,nFeature_RNA,percent.mt,clonotype
Cell0337,D1,Control,Blood,CD4_T,Naive_memory,199,73,4.16,unique_78919
Cell0338,D1,Control,Blood,B,Other,149,81,5.19,
Cell0339,D5,Treatment,Blood,CD4_T,Naive_memory,150,58,4.18,unique_95707
Cell0340,D4,Treatment,Blood,Monocyte,Other,110,63,5.6,
Cell0341,D3,Control,Tumor,CD4_T,Cytotoxic,170,63,6.75,clonotype_A
Cell0342,D2,Control,Blood,Monocyte,Other,126,64,2.0,
Cell0343,D1,Control,Blood,B,Other,176,77,2.86,
Cell0344,D4,Treatment,Blood,NK,Cytotoxic,216,79,3.16,
Cell0345,D2,Control,Blood,B,Other,102,51,2.79,
Cell0346,D4,Treatment,Blood,B,Other,140,68,5.13,
Cell0347,D5,Treatment,Tumor,Monocyte,Other,130,59,7.99,
Cell0348,D6,Treatment,Blood,CD4_T,Naive_memory,147,61,7.53,unique_35155
Cell0349,D3,Control,Tumor,NK,Cytotoxic,204,84,2.83,
Cell0350,D1,Control,Tumor,CD4_T,Exhaustion_assoc,132,54,4.16,unique_33853
Cell0351,D2,Control,Blood,NK,Cytotoxic,213,73,2.28,
Cell0352,D6,Treatment,Blood,CD4_T,Cytotoxic,215,72,6.69,clonotype_E
Cell0353,D4,Treatment,Blood,NK,Cytotoxic,135,56,5.01,
Cell0354,D4,Treatment,Tumor,NK,Cytotoxic,131,62,5.26,
Cell0355,D3,Control,Blood,CD8_T,Naive_memory,130,58,7.16,unique_56234
Cell0356,D1,Control,Tumor,CD8_T,Exhaustion_assoc,97,52,8.12,clonotype_A
Cell0357,D6,Treatment,Tumor,B,Other,94,54,4.05,
Cell0358,D5,Treatment,Tumor,B,Other,118,65,1.87,
Cell0359,D6,Treatment,Tumor,CD8_T,Exhaustion_assoc,139,65,4.39,clonotype_A
Cell0360,D6,Treatment,Tumor,NK,Cytotoxic,122,55,4.25,
Cell0361,D2,Control,Blood,Monocyte,Other,180,83,6.18,
Cell0362,D2,Control,Blood,CD4_T,Naive_memory,77,46,6.67,clonotype_G
Cell0363,D2,Control,Blood,CD4_T,Naive_memory,152,66,4.84,unique_23590
Cell0364,D6,Treatment,Tumor,CD4_T,Exhaustion_assoc,152,68,6.25,clonotype_D
Cell0365,D4,Treatment,Tumor,NK,Cytotoxic,192,68,6.07,
Cell0366,D3,Control,Tumor,CD8_T,Exhaustion_assoc,229,81,4.5,unique_45003
Cell0367,D6,Treatment,Blood,B,Other,148,66,4.07,
Cell0368,D4,Treatment,Tumor,NK,Cytotoxic,177,66,6.86,
Cell0369,D6,Treatment,Tumor,CD8_T,Exhaustion_assoc,256,83,3.87,clonotype_D
Cell0370,D6,Treatment,Tumor,Monocyte,Other,84,49,8.41,
Cell0371,D1,Control,Tumor,B,Other,95,52,5.79,
Cell0372,D3,Control,Blood,CD8_T,Cytotoxic,205,87,4.29,clonotype_E
Cell0373,D5,Treatment,Blood,CD8_T,Exhaustion_assoc,105,57,8.21,clonotype_F
Cell0374,D5,Treatment,Tumor,CD8_T,Cytotoxic,165,68,0.79,unique_72044
Cell0375,D1,Control,Blood,CD4_T,Cytotoxic,168,60,3.21,unique_13482
Cell0376,D2,Control,Blood,CD4_T,Naive_memory,179,67,20.93,clonotype_F
Cell0377,D4,Treatment,Blood,Monocyte,Other,154,70,7.33,
Cell0378,D5,Treatment,Blood,CD8_T,Exhaustion_assoc,144,69,6.05,unique_26831
Cell0379,D1,Control,Tumor,CD8_T,Naive_memory,213,80,1.93,unique_12922
Cell0380,D4,Treatment,Tumor,B,Other,138,71,4.68,
Cell0381,D2,Control,Blood,NK,Cytotoxic,322,101,30.02,
Cell0382,D2,Control,Blood,Monocyte,Other,185,74,4.52,
Cell0383,D4,Treatment,Blood,B,Other,147,70,5.35,
Cell0384,D3,Control,Tumor,CD8_T,Cytotoxic,224,90,5.61,clonotype_F
Cell0385,D4,Treatment,Tumor,CD8_T,Exhaustion_assoc,138,68,3.07,clonotype_F
Cell0386,D2,Control,Tumor,Monocyte,Other,128,65,4.35,
Cell0387,D5,Treatment,Blood,B,Other,151,68,7.71,
Cell0388,D1,Control,Blood,Monocyte,Other,204,81,2.03,
Cell0389,D6,Treatment,Tumor,CD4_T,Cytotoxic,276,100,3.91,unique_11605
Cell0390,D1,Control,Tumor,Monocyte,Other,232,85,5.08,
Cell0391,D5,Treatment,Tumor,NK,Cytotoxic,185,72,3.59,
Cell0392,D3,Control,Tumor,CD4_T,Exhaustion_assoc,149,66,3.63,unique_34614
Cell0393,D3,Control,Tumor,NK,Cytotoxic,88,41,7.18,
Cell0394,D1,Control,Blood,NK,Cytotoxic,94,41,5.54,
Cell0395,D5,Treatment,Blood,CD4_T,Naive_memory,183,69,8.49,unique_32876
Cell0396,D1,Control,Blood,CD8_T,Exhaustion_assoc,289,87,9.11,clonotype_G
Cell0397,D4,Treatment,Blood,Monocyte,Other,185,82,3.49,
Cell0398,D5,Treatment,Blood,CD8_T,Cytotoxic,107,52,19.32,unique_17378
Cell0399,D6,Treatment,Tumor,CD8_T,Cytotoxic,109,55,5.48,clonotype_D
Cell0400,D5,Treatment,Blood,CD8_T,Cytotoxic,153,60,3.98,clonotype_G
Cell0401,D2,Control,Blood,CD8_T,Naive_memory,106,53,4.15,unique_28363
Cell0402,D5,Treatment,Tumor,Monocyte,Other,101,54,2.75,
Cell0403,D5,Treatment,Tumor,B,Other,165,76,6.48,
Cell0404,D2,Control,Blood,CD4_T,Cytotoxic,264,86,1.87,unique_72157
Cell0405,D1,Control,Tumor,Monocyte,Other,129,64,3.97,
Cell0406,D6,Treatment,Tumor,Monocyte,Other,186,86,3.05,
Cell0407,D1,Control,Tumor,CD8_T,Exhaustion_assoc,182,78,7.1,clonotype_A
Cell0408,D4,Treatment,Tumor,Monocyte,Other,156,74,3.78,
Cell0409,D2,Control,Blood,CD4_T,Cytotoxic,150,64,5.34,unique_84318
Cell0410,D1,Control,Tumor,Monocyte,Other,223,89,2.9,
Cell0411,D5,Treatment,Blood,NK,Cytotoxic,205,78,5.13,
Cell0412,D1,Control,Tumor,NK,Cytotoxic,177,71,8.49,
Cell0413,D5,Treatment,Tumor,CD4_T,Naive_memory,149,67,10.79,unique_75961
Cell0414,D5,Treatment,Blood,Monocyte,Other,38,25,3.28,
Cell0415,D1,Control,Blood,CD4_T,Naive_memory,153,68,3.42,unique_98528
Cell0416,D2,Control,Tumor,CD4_T,Exhaustion_assoc,107,57,24.58,clonotype_B
Cell0417,D5,Treatment,Tumor,CD4_T,Cytotoxic,166,74,10.14,clonotype_B
Cell0418,D4,Treatment,Blood,B,Other,160,68,3.38,
Cell0419,D1,Control,Tumor,CD4_T,Cytotoxic,169,70,2.0,clonotype_A
Cell0420,D6,Treatment,Tumor,Monocyte,Other,237,97,2.18,
Cell0421,D2,Control,Tumor,NK,Cytotoxic,223,80,7.65,
Cell0422,D1,Control,Tumor,CD4_T,Naive_memory,206,79,9.36,unique_35720
Cell0423,D6,Treatment,Blood,CD4_T,Naive_memory,383,111,5.34,unique_70736
Cell0424,D1,Control,Tumor,CD4_T,Exhaustion_assoc,195,74,2.22,clonotype_A
Cell0425,D4,Treatment,Blood,NK,Cytotoxic,195,76,5.17,
Cell0426,D6,Treatment,Tumor,B,Other,145,64,3.55,
Cell0427,D4,Treatment,Blood,CD4_T,Naive_memory,143,64,4.65,unique_68237
Cell0428,D4,Treatment,Tumor,Monocyte,Other,59,35,1.93,
Cell0429,D3,Control,Blood,CD4_T,Naive_memory,146,64,5.85,clonotype_G
Cell0430,D1,Control,Blood,B,Other,135,68,4.85,
Cell0431,D4,Treatment,Tumor,Monocyte,Other,81,48,4.59,
Cell0432,D6,Treatment,Tumor,B,Other,68,49,6.21,
Cell0433,D1,Control,Tumor,B,Other,227,87,3.63,
Cell0434,D6,Treatment,Tumor,Monocyte,Other,104,54,8.92,
Cell0435,D3,Control,Tumor,CD4_T,Exhaustion_assoc,199,78,7.95,clonotype_B
Cell0436,D4,Treatment,Tumor,CD4_T,Naive_memory,239,84,6.64,unique_95705
Cell0437,D1,Control,Blood,CD4_T,Cytotoxic,124,61,3.16,unique_73526
Cell0438,D4,Treatment,Tumor,CD8_T,Cytotoxic,329,100,5.23,clonotype_A
Cell0439,D2,Control,Tumor,B,Other,265,98,4.78,
Cell0440,D2,Control,Blood,NK,Cytotoxic,205,76,6.48,
Cell0441,D5,Treatment,Blood,Monocyte,Other,93,52,3.28,
Cell0442,D1,Control,Tumor,CD4_T,Exhaustion_assoc,209,76,5.76,unique_94187
Cell0443,D3,Control,Tumor,B,Other,133,65,22.61,
Cell0444,D4,Treatment,Tumor,CD4_T,Exhaustion_assoc,137,61,4.69,clonotype_D
Cell0445,D1,Control,Tumor,CD8_T,Exhaustion_assoc,143,63,1.21,clonotype_C
Cell0446,D2,Control,Tumor,B,Other,139,70,2.23,
Cell0447,D3,Control,Blood,Monocyte,Other,151,73,6.59,
Cell0448,D4,Treatment,Blood,NK,Cytotoxic,59,41,4.8,
Cell0449,D6,Treatment,Blood,CD4_T,Naive_memory,195,68,11.71,unique_26470
Cell0450,D6,Treatment,Blood,NK,Cytotoxic,216,89,1.35,
Cell0451,D2,Control,Tumor,CD4_T,Cytotoxic,273,96,21.06,clonotype_A
Cell0452,D1,Control,Tumor,Monocyte,Other,117,58,8.07,
Cell0453,D1,Control,Blood,B,Other,274,99,3.82,
Cell0454,D4,Treatment,Blood,CD4_T,Cytotoxic,150,65,4.7,clonotype_G
Cell0455,D1,Control,Tumor,CD4_T,Naive_memory,108,47,8.23,unique_50156
Cell0456,D2,Control,Blood,CD4_T,Naive_memory,147,60,5.65,clonotype_F
Cell0457,D6,Treatment,Tumor,Monocyte,Other,156,72,1.95,
Cell0458,D6,Treatment,Tumor,CD8_T,Naive_memory,167,71,5.89,unique_78270
Cell0459,D6,Treatment,Tumor,B,Other,113,64,25.65,
Cell0460,D2,Control,Blood,NK,Cytotoxic,158,67,5.55,
Cell0461,D4,Treatment,Tumor,NK,Cytotoxic,90,47,6.63,
Cell0462,D4,Treatment,Blood,CD4_T,Exhaustion_assoc,186,71,6.42,unique_83890
Cell0463,D2,Control,Tumor,Monocyte,Other,115,58,3.95,
Cell0464,D4,Treatment,Blood,CD8_T,Cytotoxic,168,72,2.87,unique_49398
Cell0465,D4,Treatment,Tumor,NK,Cytotoxic,162,65,5.01,
Cell0466,D3,Control,Tumor,B,Other,169,74,4.22,
Cell0467,D5,Treatment,Blood,NK,Cytotoxic,81,41,3.28,
Cell0468,D5,Treatment,Blood,Monocyte,Other,88,49,1.26,
Cell0469,D4,Treatment,Blood,CD4_T,Cytotoxic,150,67,8.62,unique_65623
Cell0470,D5,Treatment,Blood,CD8_T,Cytotoxic,139,72,4.91,unique_77023
Cell0471,D5,Treatment,Blood,CD8_T,Naive_memory,280,93,7.95,unique_48779
Cell0472,D4,Treatment,Tumor,CD8_T,Cytotoxic,240,75,3.7,unique_35707
Cell0473,D2,Control,Blood,CD4_T,Naive_memory,162,69,2.69,unique_77050
Cell0474,D5,Treatment,Tumor,CD4_T,Cytotoxic,249,93,4.55,unique_40899
Cell0475,D5,Treatment,Tumor,CD8_T,Naive_memory,63,37,18.46,unique_69320
Cell0476,D6,Treatment,Blood,CD8_T,Cytotoxic,174,69,6.22,unique_44283
Cell0477,D1,Control,Tumor,CD8_T,Exhaustion_assoc,171,68,6.92,clonotype_D
Cell0478,D3,Control,Tumor,NK,Cytotoxic,201,80,8.43,
Cell0479,D6,Treatment,Tumor,NK,Cytotoxic,203,78,1.68,
Cell0480,D4,Treatment,Blood,CD8_T,Naive_memory,206,79,5.07,unique_69955
Cell0481,D6,Treatment,Blood,CD8_T,Naive_memory,237,84,4.03,unique_46941
Cell0482,D1,Control,Blood,CD4_T,Naive_memory,143,53,2.37,unique_26939
Cell0483,D1,Control,Tumor,NK,Cytotoxic,267,83,4.27,
Cell0484,D5,Treatment,Tumor,CD8_T,Exhaustion_assoc,236,77,8.04,unique_29442
Cell0485,D3,Control,Tumor,CD4_T,Exhaustion_assoc,149,56,5.74,clonotype_B
Cell0486,D4,Treatment,Blood,CD8_T,Cytotoxic,216,85,5.16,unique_47160
Cell0487,D3,Control,Tumor,CD8_T,Cytotoxic,98,56,3.45,unique_31999
Cell0488,D3,Control,Blood,CD4_T,Naive_memory,187,70,6.16,unique_26055
Cell0489,D6,Treatment,Tumor,NK,Cytotoxic,150,64,4.82,
Cell0490,D1,Control,Blood,NK,Cytotoxic,366,116,5.02,
Cell0491,D5,Treatment,Tumor,B,Other,109,54,7.63,
Cell0492,D6,Treatment,Tumor,NK,Cytotoxic,332,106,5.96,
Cell0493,D4,Treatment,Blood,NK,Cytotoxic,198,74,1.58,
Cell0494,D3,Control,Blood,CD8_T,Naive_memory,216,93,5.15,clonotype_E
Cell0495,D1,Control,Tumor,B,Other,112,52,0.62,
Cell0496,D5,Treatment,Blood,CD8_T,Naive_memory,160,68,8.4,clonotype_F
Cell0497,D3,Control,Tumor,CD8_T,Naive_memory,132,60,5.49,unique_27000
Cell0498,D1,Control,Tumor,NK,Cytotoxic,195,72,5.49,
Cell0499,D3,Control,Tumor,CD8_T,Naive_memory,127,69,7.39,unique_94968
Cell0500,D6,Treatment,Blood,CD8_T,Exhaustion_assoc,161,79,5.49,unique_81126
Cell0501,D2,Control,Blood,B,Other,157,65,7.82,
Cell0502,D2,Control,Blood,Monocyte,Other,110,55,6.09,
Cell0503,D5,Treatment,Tumor,Monocyte,Other,93,58,3.67,
Cell0504,D2,Control,Blood,CD8_T,Naive_memory,171,79,5.2,unique_60989
Cell0505,D6,Treatment,Blood,CD8_T,Naive_memory,88,50,5.78,unique_28657
Cell0506,D6,Treatment,Blood,B,Other,91,51,5.87,
Cell0507,D6,Treatment,Tumor,CD8_T,Exhaustion_assoc,452,111,5.0,clonotype_F
Cell0508,D6,Treatment,Blood,Monocyte,Other,143,67,3.31,
Cell0509,D2,Control,Tumor,CD8_T,Cytotoxic,207,76,7.45,unique_12180
Cell0510,D2,Control,Tumor,CD4_T,Exhaustion_assoc,125,61,0.99,unique_59989
Cell0511,D3,Control,Tumor,CD4_T,Cytotoxic,304,94,5.06,clonotype_A
Cell0512,D3,Control,Tumor,Monocyte,Other,288,94,8.28,
Cell0513,D6,Treatment,Tumor,CD4_T,Exhaustion_assoc,186,69,7.73,unique_18884
Cell0514,D5,Treatment,Tumor,CD8_T,Cytotoxic,195,67,5.52,clonotype_C
Cell0515,D4,Treatment,Blood,CD8_T,Naive_memory,118,68,27.87,unique_54627
Cell0516,D6,Treatment,Tumor,CD4_T,Exhaustion_assoc,247,92,5.32,clonotype_C
Cell0517,D4,Treatment,Tumor,CD8_T,Cytotoxic,168,73,8.44,unique_31725
Cell0518,D3,Control,Tumor,B,Other,129,64,6.73,
Cell0519,D3,Control,Tumor,CD4_T,Cytotoxic,277,93,3.13,clonotype_C
Cell0520,D4,Treatment,Tumor,Monocyte,Other,146,74,5.78,
Cell0521,D1,Control,Tumor,Monocyte,Other,87,52,4.04,
Cell0522,D5,Treatment,Tumor,CD8_T,Cytotoxic,210,77,5.06,clonotype_E
Cell0523,D4,Treatment,Tumor,CD4_T,Naive_memory,254,84,6.4,unique_42950
Cell0524,D5,Treatment,Blood,NK,Cytotoxic,157,60,5.18,
Cell0525,D4,Treatment,Blood,CD4_T,Cytotoxic,127,68,7.63,unique_49656
Cell0526,D5,Treatment,Blood,CD8_T,Naive_memory,295,100,3.26,unique_24221
Cell0527,D6,Treatment,Blood,Monocyte,Other,174,78,3.85,
Cell0528,D4,Treatment,Blood,Monocyte,Other,162,75,7.87,
Cell0529,D3,Control,Tumor,B,Other,92,55,1.36,
Cell0530,D1,Control,Blood,CD8_T,Naive_memory,128,56,6.16,unique_74369
Cell0531,D5,Treatment,Tumor,NK,Cytotoxic,168,72,8.44,
Cell0532,D6,Treatment,Tumor,B,Other,222,92,2.93,
Cell0533,D5,Treatment,Blood,CD8_T,Naive_memory,291,99,2.29,unique_95418
Cell0534,D6,Treatment,Blood,NK,Cytotoxic,175,73,5.28,
Cell0535,D6,Treatment,Blood,CD4_T,Cytotoxic,124,72,5.12,unique_26342
Cell0536,D5,Treatment,Tumor,CD4_T,Cytotoxic,146,60,3.54,clonotype_F
Cell0537,D4,Treatment,Blood,CD8_T,Cytotoxic,157,70,4.26,unique_91900
Cell0538,D1,Control,Tumor,CD4_T,Exhaustion_assoc,171,73,3.23,clonotype_B
Cell0539,D1,Control,Tumor,CD4_T,Naive_memory,116,49,8.03,unique_13872
Cell0540,D2,Control,Tumor,Monocyte,Other,187,76,4.96,
Cell0541,D3,Control,Blood,Monocyte,Other,118,64,8.74,
Cell0542,D5,Treatment,Blood,NK,Cytotoxic,227,89,3.43,
Cell0543,D3,Control,Blood,Monocyte,Other,106,54,6.53,
Cell0544,D1,Control,Blood,Monocyte,Other,122,66,6.21,
Cell0545,D2,Control,Blood,CD4_T,Cytotoxic,114,58,5.46,unique_23941
Cell0546,D6,Treatment,Tumor,CD8_T,Cytotoxic,243,92,5.23,unique_53766
Cell0547,D6,Treatment,Tumor,CD8_T,Naive_memory,217,85,6.55,unique_64194
Cell0548,D3,Control,Tumor,CD4_T,Exhaustion_assoc,343,110,2.38,unique_50768
Cell0549,D5,Treatment,Tumor,B,Other,108,62,7.41,
Cell0550,D5,Treatment,Blood,CD8_T,Cytotoxic,105,57,3.1,unique_39095
Cell0551,D6,Treatment,Tumor,CD8_T,Cytotoxic,147,69,6.3,clonotype_B
Cell0552,D6,Treatment,Tumor,CD4_T,Cytotoxic,123,67,7.13,unique_13279
Cell0553,D4,Treatment,Tumor,CD4_T,Cytotoxic,154,71,4.74,clonotype_A
Cell0554,D3,Control,Tumor,Monocyte,Other,68,45,2.56,
Cell0555,D4,Treatment,Blood,CD4_T,Naive_memory,140,59,2.87,unique_62470
Cell0556,D2,Control,Blood,CD4_T,Cytotoxic,138,65,7.92,clonotype_E
Cell0557,D3,Control,Blood,CD8_T,Cytotoxic,150,70,6.67,unique_23969
Cell0558,D4,Treatment,Blood,CD8_T,Cytotoxic,199,75,5.44,unique_14159
Cell0559,D4,Treatment,Tumor,NK,Cytotoxic,147,56,4.21,
Cell0560,D4,Treatment,Blood,CD8_T,Naive_memory,104,56,4.55,unique_44430
Cell0561,D3,Control,Tumor,CD4_T,Exhaustion_assoc,174,70,2.94,clonotype_A
Cell0562,D3,Control,Tumor,CD4_T,Exhaustion_assoc,147,72,5.95,clonotype_D
Cell0563,D1,Control,Blood,Monocyte,Other,277,97,2.87,
Cell0564,D4,Treatment,Blood,NK,Cytotoxic,395,99,4.43,
Cell0565,D4,Treatment,Tumor,NK,Cytotoxic,202,93,5.49,
Cell0566,D6,Treatment,Tumor,NK,Cytotoxic,161,62,8.43,
Cell0567,D4,Treatment,Blood,B,Other,97,52,2.07,
Cell0568,D3,Control,Blood,CD4_T,Cytotoxic,77,45,5.61,unique_68536
Cell0569,D1,Control,Tumor,CD8_T,Naive_memory,380,105,4.67,unique_27660
Cell0570,D2,Control,Blood,CD8_T,Naive_memory,162,75,19.74,unique_96926
Cell0571,D3,Control,Tumor,CD8_T,Cytotoxic,178,72,3.3,clonotype_E
Cell0572,D3,Control,Blood,Monocyte,Other,105,54,9.74,
Cell0573,D3,Control,Blood,CD8_T,Naive_memory,172,74,4.91,unique_36714
Cell0574,D3,Control,Tumor,B,Other,75,45,7.06,
Cell0575,D5,Treatment,Tumor,Monocyte,Other,201,71,2.78,
Cell0576,D1,Control,Tumor,CD8_T,Naive_memory,151,72,5.55,unique_70308
Cell0577,D2,Control,Blood,Monocyte,Other,267,99,7.92,
Cell0578,D1,Control,Tumor,NK,Cytotoxic,110,51,3.62,
Cell0579,D2,Control,Tumor,Monocyte,Other,100,47,1.4,
Cell0580,D5,Treatment,Tumor,CD8_T,Cytotoxic,143,58,2.0,clonotype_E
Cell0581,D1,Control,Blood,CD8_T,Cytotoxic,129,59,19.18,clonotype_G
Cell0582,D3,Control,Blood,CD8_T,Naive_memory,171,71,4.57,unique_81553
Cell0583,D1,Control,Tumor,CD4_T,Exhaustion_assoc,138,63,5.96,clonotype_C
Cell0584,D6,Treatment,Blood,CD8_T,Naive_memory,222,96,5.15,unique_11658
Cell0585,D5,Treatment,Tumor,Monocyte,Other,147,67,8.96,
Cell0586,D2,Control,Blood,NK,Cytotoxic,129,56,4.45,
Cell0587,D2,Control,Tumor,CD4_T,Exhaustion_assoc,189,75,3.29,clonotype_B
Cell0588,D1,Control,Tumor,CD8_T,Cytotoxic,168,75,5.63,unique_87323
Cell0589,D3,Control,Tumor,CD4_T,Cytotoxic,248,92,2.57,unique_83552
Cell0590,D5,Treatment,Tumor,CD4_T,Cytotoxic,164,72,5.19,unique_95598
Cell0591,D4,Treatment,Blood,Monocyte,Other,84,52,2.28,
Cell0592,D6,Treatment,Tumor,CD8_T,Exhaustion_assoc,222,92,5.62,unique_17654
Cell0593,D3,Control,Tumor,CD8_T,Cytotoxic,311,91,3.42,unique_56155
Cell0594,D2,Control,Tumor,NK,Cytotoxic,217,83,5.11,
Cell0595,D3,Control,Blood,CD4_T,Naive_memory,165,64,4.76,unique_35687
Cell0596,D2,Control,Tumor,CD8_T,Cytotoxic,144,63,7.19,clonotype_G
Cell0597,D6,Treatment,Tumor,B,Other,248,85,7.29,
Cell0598,D2,Control,Tumor,NK,Cytotoxic,231,84,2.69,
Cell0599,D3,Control,Blood,Monocyte,Other,128,65,5.9,
Cell0600,D4,Treatment,Tumor,NK,Cytotoxic,235,87,3.79,
